"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Apr 25 16:27:50 BRT 2023","Tue Apr 25 16:28:08 BRT 2023","18284","Cadastro Transportadoras","Cadastro","","","","Cadastrar Transportadoras",""
"passed","Tue Apr 25 16:16:59 BRT 2023","Tue Apr 25 16:17:14 BRT 2023","15054","Cadastro Mercadoria","Excluir","","","","Excluir Mercadoria",""
"passed","Tue Apr 25 16:47:37 BRT 2023","Tue Apr 25 16:47:52 BRT 2023","14377","Cadastro Bancos","Cadastro","","","","Cadastrar Bancos",""
"passed","Tue Apr 25 16:57:07 BRT 2023","Tue Apr 25 16:57:18 BRT 2023","10735","Cadastro Leiaute de coletor","Alterar","","","","Alterar Leiaute de coletor",""
"passed","Tue Apr 25 16:43:06 BRT 2023","Tue Apr 25 16:43:25 BRT 2023","19510","Cadastro Regras ICMS","Cadastro","","","","Cadastro Regras ICMS",""
"passed","Tue Apr 25 16:11:44 BRT 2023","Tue Apr 25 16:11:56 BRT 2023","11868","Cadastro Função","Alterar","","","","Alterar Função",""
"passed","Tue Apr 25 16:38:00 BRT 2023","Tue Apr 25 16:38:12 BRT 2023","12071","Cadastro Exceção IPI","Excluir","","","","Excluir Exceção IPI",""
"passed","Tue Apr 25 16:20:54 BRT 2023","Tue Apr 25 16:21:05 BRT 2023","10344","Cadastro Cadastro de notificação de desconto","Excluir","","","","Excluir Cadastro de notificação de desconto",""
"passed","Tue Apr 25 16:08:49 BRT 2023","Tue Apr 25 16:09:07 BRT 2023","18061","Cadastro Empresa","Cadastro","","","","Cadastrar Empresa",""
"passed","Tue Apr 25 16:15:47 BRT 2023","Tue Apr 25 16:15:58 BRT 2023","10862","Cadastro de tabela nutricional(","Alterar","","","","Alterar de tabela nutricional(",""
"passed","Tue Apr 25 16:45:22 BRT 2023","Tue Apr 25 16:45:36 BRT 2023","14379","Cadastro Imposto Simples","Alterar","","","","Alterar Imposto Simples",""
"passed","Tue Apr 25 16:07:07 BRT 2023","Tue Apr 25 16:07:20 BRT 2023","12936","Cadastro Departamento loja","Alterar","","","","Alterar Departamento Geral",""
"passed","Tue Apr 25 16:19:05 BRT 2023","Tue Apr 25 16:19:18 BRT 2023","12488","Cadastro Moeda","Alterar","","","","Alterar Moeda",""
"passed","Tue Apr 25 16:29:16 BRT 2023","Tue Apr 25 16:29:29 BRT 2023","12046","Cadastro Veiculos","Excluir","","","","Excluir Veiculos",""
"passed","Tue Apr 25 16:10:15 BRT 2023","Tue Apr 25 16:10:27 BRT 2023","11821","Cadastro Finalizadora","Excluir","","","","Excluir Finalizadora",""
"passed","Tue Apr 25 16:13:07 BRT 2023","Tue Apr 25 16:13:22 BRT 2023","15459","Cadastro Faixa Mercadoria","Cadastro","","","","Cadastrar Faixa Mercadoria",""
"passed","Tue Apr 25 16:23:41 BRT 2023","Tue Apr 25 16:23:59 BRT 2023","17035","Cadastro Planos de Pagamento","Cadastro","","","","Cadastrar Planos de Pagamento",""
"passed","Tue Apr 25 16:58:56 BRT 2023","Tue Apr 25 16:59:06 BRT 2023","10391","Cadastro Teclas","Excluir","","","","Excluir Teclas",""
"passed","Tue Apr 25 16:53:46 BRT 2023","Tue Apr 25 16:54:01 BRT 2023","15110","Cadastro Grupo de Opções","Cadastro","","","","Cadastrar Grupo de Opções",""
"passed","Tue Apr 25 16:19:18 BRT 2023","Tue Apr 25 16:19:28 BRT 2023","10370","Cadastro Moeda","Excluir","","","","Excluir Moeda",""
"passed","Tue Apr 25 16:56:21 BRT 2023","Tue Apr 25 16:56:32 BRT 2023","10985","Cadastro Interpretação de TEF","Alterar","","","","Alterar Interpretação de TEF",""
"passed","Tue Apr 25 16:24:11 BRT 2023","Tue Apr 25 16:24:23 BRT 2023","11782","Cadastro Planos de Pagamento","Excluir","","","","Excluir Planos de Pagamento",""
"passed","Tue Apr 25 16:40:15 BRT 2023","Tue Apr 25 16:40:31 BRT 2023","16372","Cadastro Tributacao pdv","Cadastro","","","","Cadastro Tributacao pdv",""
"passed","Tue Apr 25 16:41:44 BRT 2023","Tue Apr 25 16:41:56 BRT 2023","12464","Cadastro Exceção COFINS","Excluir","","","","Excluir Exceção COFINS",""
"passed","Tue Apr 25 16:23:59 BRT 2023","Tue Apr 25 16:24:11 BRT 2023","12432","Cadastro Planos de Pagamento","Alterar","","","","Alterar Planos de Pagamento",""
"passed","Tue Apr 25 16:49:27 BRT 2023","Tue Apr 25 16:49:39 BRT 2023","11450","Cadastro Cedulas","Alterar","","","","Alterar Cedulas",""
